l1_cache.GetSXMiss_Blocked : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.CacheHits : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 754610505; SumSQ.u64 = 754610505; Count.u64 = 754610505; Min.u64 = 1; Max.u64 = 1; 
l1_cache.CacheMisses : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 15966489; SumSQ.u64 = 15966489; Count.u64 = 15966489; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_AckPut_I : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.eventSent_PutS : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.eventSent_PutE : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 8728277; SumSQ.u64 = 8728277; Count.u64 = 8728277; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetS_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 681496352; SumSQ.u64 = 681496352; Count.u64 = 681496352; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetX_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 1736030; SumSQ.u64 = 1736030; Count.u64 = 1736030; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetSX_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_FlushLine_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_FlushLineInv_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_FetchInv_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_ForceInv_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_FetchInvX_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.evict_E : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 8728277; SumSQ.u64 = 8728277; Count.u64 = 8728277; Min.u64 = 1; Max.u64 = 1; 
l1_cache.TotalEventsReceived : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 786543483; SumSQ.u64 = 786543483; Count.u64 = 786543483; Min.u64 = 1; Max.u64 = 1; 
l1_cache.TotalEventsReplayed : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetS_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetX_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSX_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetSResp_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetXResp_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.CustomReq_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.CustomResp_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.CustomAck_uncache_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.NULLCMD_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.GetS_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 708298160; SumSQ.u64 = 708298160; Count.u64 = 708298160; Min.u64 = 1; Max.u64 = 1; 
l1_cache.GetX_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 62278834; SumSQ.u64 = 62278834; Count.u64 = 62278834; Min.u64 = 1; Max.u64 = 1; 
l1_cache.GetSX_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.FlushLine_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.FlushLineInv_recv : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
